happy,"During the period of falling in love, each time that we met and á
especially when we had not met for a long time."
angry,"When I was driving home after  several days of hard work, there á
was a motorist ahead of me who was driving at 50 km/hour and á
refused, despite his low speeed to let me overtake."
sad,When I lost the person who meant the most to me. 
happy,"When I got a letter offering me the Summer job that I had applied á
for.  "
angry,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.
sad,"When my friends did not ask me to go to a New Year's party á
with them."
happy,"[ On days when I feel close to my partner and other friends.  á
When I feel at peace with myself and also experience a close á
contact with people whom I regard greatly.]"
angry,"When I had been obviously unjustly treated and had no possibility á
of elucidating this."
sad,"When I think about the short time that we live and relate it to á
the periods of my life when I think that I did not use this á
short time."
happy,"After my girlfriend had taken her exam we went to her parent's á
place."
angry,"When a car is overtaking another and I am forced to drive off the á
road."
sad,"When I recently thought about the hard work it takes to study, and  á
how one wants to try something else.  When I read a theoretical á
book in English that I did not understand."
happy,When I pass an examination which I did not think I did well.
angry,When one is unjustly accused of something one has not done.
sad,When one's studies seem hopelessly difficult and uninteresting.  
happy,Passing an exam I did not expect to pass.
angry,Friends who torture animals.
sad,[ Same as in anger.]
happy,When I had my children.
angry,When my partner was attacked and lost three teeth.
sad,"When I see children on T.V from areas devastated by drought and á
war."
happy,When my child was born.
angry,"Unjust accusations directed at me and my way of acting, by á
someone close to me.  "
sad,Failing an examination.
happy,When I saw a person I had not seen for a long time.
angry,"When I heard on the radio that the football match in Belgium had á
ended in a catastrophe, and several people had died.  I could not á
 understand how normal people could behave in such a way."
sad,"When I feel lonely, perhaps because I have to study a lot and I á
am shut up in my appartment.  Nothing happens in particular á
because there is no time for anything else."
happy,When I was accepted for a course on finance and accounting.
angry,"At my Summer job, nobody looked after me in particular and I had á
to learn all on my own."
sad,When I was not accepted as a student in finance and accounting.
happy,Passed an exam by 2 points.
angry,When I spoke to Jan-Erik Wikstr÷m on the telephone. 
sad,Railway station good-bye.
happy,I passed an exam that I was absolutely certain that I had failed.
angry,I locked myself out.
sad,I missed the last tram home and had to walk in the pouring rain.
happy,When I won a trip to Greece in a competition.
angry,"At work, when an elderly man complained unjustifiably about me and á
distrusted me."
sad,When I had not understood anything after a lecture.
happy,"At a friend's birthday party with some of my closest friends.  It á
was all very pleasant and one could say that I was happy to have á
such good friends."
angry,Mad at my dad.
sad,A case of unrequited love.
happy,I felt very happy when I won the football pools.
angry,When someone stole my bike.
sad,"When I saw the list of books to read for an acccouting course, I á
thought "" Oh God how will I ever manaage it!"""
happy,"When the whole family gets together for a one week holiday.  á
Everybody feels free and the trip is well planned.  It works out á
well and we enjoy ourselves."
angry,When friends try to put me down or hurt me.  
sad,Marriage crises.  Boredom.
happy,When I passed the first examination that I had to repeat.
angry,When my boyfriend went away for a month long holiday without me.
sad,"Last year when I worked during the Summer holidays and studied á
at the same time for an examination I had to repeat; my boyfriend á
went to Greece for a holiday for a month."
happy,"The day I was told that I had been accepted as a student of á
economics."
angry,"At a restaurant I observed how the gypsies tried to get money by á
cheating the foreigners i.e non Swedish speaking.  My anger had á
nothing to do with hatred against foreigners, but it was an á
expression of the anger I feel when I see people being used ."
sad,"At the begining of a new course one is afraid of encountering á
problems one can not manage.  Thoughts revolve around failing á
the subject and the consequences it would have for the future."
happy,"When I found out that I had passed the last two exams by a á
margin of three marks."
angry,"When I got caught in the pouring rain last Thursday and did not á
have a raincoat on me."
sad,When I failed an exam.
happy,"When I gave birth to my son and saw that he was alive and that I á
had managed it well.  He was born a month too early with a á
malfunctioning lung.  This happened a year ago."
angry,"When a colleague asked me for help at work, despite the fact á
that he had more time to do it than I had."
sad,"When I did not get the salary increase that I had been expecting á
and understood how little one's work was appreciated."
happy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the á
steps outside her parents home and I kissed her for the á
first time."
